rank,gene,UniProtID,pDesc,t12,mneuron,cneuron,subLoc
1,CSMD2,Q7Z408,CUB and sushi domain-containing protein 2,0.23655003535159702,0.23655003535159702,,Cell membrane
2,SERPINB3,P29508,Serpin B3,0.27108627100501,,0.27108627100501,Cytoplasm
3,ZFAND3,Q9H8U3,AN1-type zinc finger protein 3,0.283458424,0.283458424,,Cytoplasm
4,CYP26B1,Q9NR63,Cytochrome P450 26B1,0.292434617,0.292434617,,Endoplasmic reticulum membrane; Microsome membrane
5,JAZF1,Q86VZ6,Juxtaposed with another zinc finger protein 1,0.294454221,0.294454221,,Nucleus
6,CCDC184,Q52MB2,Coiled-coil domain-containing protein 184,0.295820595,0.295820595,,Cytoplasm; Mitochondrion
7,CDKN2D,P55273,Cyclin-dependent kinase 4 inhibitor D,0.298086945,0.298086945,,Nucleus; Cytoplasm
8,NSG2,Q9Y328,Neuronal vesicle trafficking-associated protein 2,0.304769134,0.304769134,,"Membrane; Golgi apparatus, trans-Golgi network membrane; Cell projection, dendrite; Endosome membrane; Early endosome membrane; Late endosome membrane; Lysosome lumen; Cytoplasmic vesicle membrane; Golgi apparatus, Golgi stack membrane; Endosome, multivesicular body membrane"
9,EVC2,Q86UK5,Limbin,0.306105311179932,,0.306105311179932,"Cell membrane; Cytoplasm, cytoskeleton, cilium basal body; Cell projection, cilium; Cell projection, cilium membrane; Nucleus"
10,PKN3,Q6P5Z2,Serine/threonine-protein kinase N3,0.317459682,0.317459682,,"Nucleus; Cytoplasm, perinuclear region"
11,SCRT2,Q9NQ03,Transcriptional repressor scratch 2,0.327520673,0.327520673,,Nucleus
12,HAPSTR1,Q14CZ0,HUWE1-associated protein modifying stress responses,0.329454923,0.329454923,,Nucleus; Cytoplasm
13,GDPD3,Q7L5L3,Lysophospholipase D GDPD3,0.347039175,0.347039175,,"Membrane; Cytoplasm, perinuclear region; Endoplasmic reticulum"
14,FAM222B,Q8WU58,Protein FAM222B,0.350063401,0.350063401,,Cytoplasm
15,SECISBP2L,Q93073,Selenocysteine insertion sequence-binding protein 2-like,0.355049873,0.355049873,,Cytoplasm
16,FIGN,Q5HY92,Fidgetin,0.356080795,0.356080795,,"Nucleus matrix; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome"
17,CAMK2N1,Q7Z7J9,Calcium/calmodulin-dependent protein kinase II inhibitor 1,0.35624583,0.35624583,,"Synapse; Cell projection, dendrite; Postsynaptic density"
18,INSIG1,O15503,Insulin-induced gene 1 protein,0.356481504475011,,0.356481504475011,Endoplasmic reticulum membrane
19,FGF14,Q92915,Fibroblast growth factor 14,0.360110126407344,,0.360110126407344,Nucleus
20,PRDM8,Q9NQV8,PR domain zinc finger protein 8,0.362705545,0.362705545,,Nucleus
21,PPDPF,Q9H3Y8,Pancreatic progenitor cell differentiation and proliferation factor,0.365911478,0.365911478,,
22,ZNF503,Q96F45,Zinc finger protein 503,0.37607171,0.37607171,,Nucleus
23,FGF12,P61328,Fibroblast growth factor 12,0.376884822,0.376884822,,Nucleus
24,UPP,B2RBV5,Putative MORF4 family-associated protein 1-like protein UPP,0.37859249,0.37859249,,
25,BNC2,Q6ZN30,Zinc finger protein basonuclin-2,0.379843742,0.379843742,,Nucleus
26,PITX2,Q99697,Pituitary homeobox 2,0.380278363660276,,0.380278363660276,Nucleus
27,PJA2,O43164,E3 ubiquitin-protein ligase Praja-2,0.3812619597833315,0.307652745,0.454871174566663,"Cytoplasm; Cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Synapse; Postsynaptic density; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome"
28,STMN4,Q9H169,Stathmin-4,0.38189417573345324,0.232980114,0.5308082374669065,"Golgi apparatus; Cell projection, growth cone; Cell projection, axon"
29,NDN,Q99608,Necdin,0.383468969,0.383468969,,Perikaryon; Nucleus
30,ISLR,O14498,Immunoglobulin superfamily containing leucine-rich repeat protein,0.384175531,0.384175531,,Secreted
31,SNAPC2,Q13487,snRNA-activating protein complex subunit 2,0.394418795,0.394418795,,Nucleus
32,DYNLT2B,Q8WW35,Dynein light chain Tctex-type protein 2B,0.394711161,0.394711161,,Dynein axonemal particle
33,DNAJC18,Q9H819,DnaJ homolog subfamily C member 18,0.395893193,0.395893193,,Endoplasmic reticulum membrane
34,FNIP1,Q8TF40,Folliculin-interacting protein 1,0.39766398822216,,0.39766398822216,"Lysosome membrane; Cytoplasm, cytosol"
35,RBM18,Q96H35,Probable RNA-binding protein 18,0.397912065,0.397912065,,
36,NMNAT2,Q9BZQ4,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2,0.400956238,0.400956238,,"Golgi apparatus membrane; Cytoplasmic vesicle membrane; Cytoplasm; Cell projection, axon"
37,AMD1,P17707,S-adenosylmethionine decarboxylase proenzyme,0.40604247,0.40604247,,
38,JUN,P05412,Transcription factor Jun,0.41475326,0.41475326,,Nucleus
39,NDFIP1,Q9BT67,NEDD4 family-interacting protein 1,0.415899111,0.415899111,,"Endosome membrane; Golgi apparatus membrane; Synapse, synaptosome; Cell projection, dendrite; Secreted"
40,ISL1,P61371,Insulin gene enhancer protein ISL-1,0.417327723,0.417327723,,Nucleus
41,ZXDC,Q2QGD7,Zinc finger protein ZXDC,0.427016799,0.427016799,,Nucleus
42,SLCO1B1,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,0.427593877698683,,0.427593877698683,Basolateral cell membrane; Basal cell membrane
43,RABAC1,Q9UI14,Prenylated Rab acceptor protein 1,0.431347499835035,0.431347499835035,,"Cell membrane; Cytoplasm; Golgi apparatus; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle"
44,ISL2,Q96A47,Insulin gene enhancer protein ISL-2,0.434124081,0.434124081,,Nucleus
45,TRO,Q12816,Trophinin,0.435040492,0.435040492,,
46,FLYWCH1,Q4VC44,FLYWCH-type zinc finger-containing protein 1,0.436512903,0.436512903,,"Nucleus; Chromosome, centromere"
47,HOXB8,P17481,Homeobox protein Hox-B8,0.440546362,0.440546362,,Nucleus
48,NR1H2,P55055,Oxysterols receptor LXR-beta,0.442635747962642,0.442635747962642,,Nucleus
49,STK32A,Q8WU08,Serine/threonine-protein kinase 32A,0.444004738,0.444004738,,Cell membrane; Lipid-anchor
50,PJA1,Q8NG27,E3 ubiquitin-protein ligase Praja-1,0.446107157,0.446107157,,
51,DNER,Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,0.446691659,0.446691659,,Cell membrane; Single-pass type I membrane protein
52,TRPC4AP,Q8TEL6,Short transient receptor potential channel 4-associated protein,0.447154408,0.447154408,,"Cytoplasm, perinuclear region"
53,TCEAL2,Q9H3H9,Transcription elongation factor A protein-like 2,0.4598277293874665,0.478194002,0.441461456774933,Nucleus
54,IP6K2,Q9UHH9,Inositol hexakisphosphate kinase 2,0.461303788,0.461303788,,Nucleus
55,SBK1,Q52WX2,Serine/threonine-protein kinase SBK1,0.463201819,0.463201819,,Cytoplasm
56,NSG1,P42857,Neuronal vesicle trafficking-associated protein 1,0.46447868433968853,0.408657919,0.520299449679377,"Membrane; Golgi apparatus, trans-Golgi network membrane; Endosome membrane; Cell projection, dendrite; Early endosome membrane; Late endosome membrane; Lysosome lumen; Recycling endosome membrane; Cytoplasmic vesicle membrane; Golgi apparatus, Golgi stack membrane; Endosome, multivesicular body membrane; Endoplasmic reticulum membrane"
57,STMN3,Q9NZ72,Stathmin-3,0.467264510035141,0.459342054,0.475186966070282,"Golgi apparatus; Cell projection, growth cone; Cell projection, axon; Cytoplasm, cytosol"
58,TMEM179,Q6ZVK1,Transmembrane protein 179,0.470367105,0.470367105,,Membrane
59,HOXC8,P31273,Homeobox protein Hox-C8,0.472117283,0.472117283,,Nucleus
60,AUTS2,Q8WXX7,Autism susceptibility gene 2 protein,0.472213636,0.472213636,,"Nucleus; Cytoplasm, cytoskeleton; Cell projection, growth cone"
61,CDKN1C,P49918,Cyclin-dependent kinase inhibitor 1C,0.472288039,0.472288039,,Nucleus
62,ZNF10,P21506,Zinc finger protein 10,0.47262014,0.47262014,,Nucleus
63,RNF168,Q8IYW5,E3 ubiquitin-protein ligase RNF168,0.479387063,0.479387063,,Nucleus
