Protein,Gene_x,Protein_Description,chart,b_LnLM1,t12_LnLM1,b_LnLM2,t12_LnLM2,b_CFit,t12_CFit
Q9NRG9,AAAS,Aladin,1,0.0544040436306196,12.740729076428968,0.05440404363061959,12.74072907642897,0.05577434500417515,12.427706331792113
Q86V21,AACS,Acetoacetyl-CoA synthetase,1,0.15052275474584306,4.604932866996228,0.15052275474584306,4.604932866996228,0.17091527102221502,4.055501748991477
Q8N5Z0,AADAT,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",1,0.09284510495691968,7.465629780714525,0.09284510495691968,7.465629780714525,0.09156390738021851,7.570091757679762
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34,1,0.20385308009265846,3.4002291270010994,0.20385308009265846,3.4002291270010994,0.24751500683929903,2.8004248688241207
Q2M2I8,AAK1,AP2-associated protein kinase 1,1,0.2028910026244691,3.416352482829863,0.2028910026244691,3.416352482829863,0.21468636119979467,3.228650281677084
Q9H7C9,AAMDC,Mth938 domain-containing protein,1,0.27531123745173935,2.5176857544053224,0.27531123745173935,2.5176857544053224,0.32079006283690903,2.160750162988509
Q13685,AAMP,Angio-associated migratory cell protein,1,0.39828593552527897,1.740325526799707,0.39828593552527886,1.7403255267997075,0.5826127010021842,1.1897220561234327
Q9Y312,AAR2,Protein AAR2 homolog,1,0.26437174346391046,2.6218656028743377,0.26437174346391046,2.6218656028743377,0.33891517189410536,2.045193718198371
P49588,AARS1,"Alanine--tRNA ligase, cytoplasmic",1,0.20689778333092343,3.35019142980033,0.20689778333092343,3.35019142980033,0.2219555715979231,3.122909578569152
Q5JTZ9,AARS2,"Alanine--tRNA ligase, mitochondrial",1,0.13405892672544836,5.1704664321198495,0.13405892672544836,5.1704664321198495,0.14351569077794243,4.829765838164911
Q9BTE6,AARSD1,Alanyl-tRNA editing protein Aarsd1,1,0.16200518557188692,4.278549344658931,0.16200518557188692,4.278549344658931,0.1719515992871821,4.0310598065581065
Q4L235,AASDH,Beta-alanine-activating enzyme,0,,,,,,
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,1,0.3128517427528058,2.2155771755045746,0.3128517427528058,2.2155771755045746,0.39093588597001383,1.773045671773177
Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",1,0.038520963366920895,17.994025070389895,0.0385209633669209,17.994025070389892,0.04012979737153159,17.272630961542546
Q9NY61,AATF,Protein AATF,1,0.14948769763000583,4.636817554549142,0.14948769763000583,4.636817554549142,0.1583550193898738,4.37717214920356
P80404,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",1,0.06644723786667975,10.431542420930741,0.06644723786667975,10.431542420930741,0.06702470717574534,10.341666674386888
O95477,ABCA1,Phospholipid-transporting ATPase ABCA1,1,0.07893450605982985,8.78129496413852,0.07893450605982986,8.781294964138517,0.08073983662011379,8.584946534153246
Q86UQ4,ABCA13,ATP-binding cassette sub-family A member 13,1,0.1372806701966059,5.049124392875251,0.1372806701966059,5.049124392875251,0.1397347377154014,4.96045000615153
Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2,1,0.2727637736084913,2.5411995566348446,0.2727637736084913,2.5411995566348446,0.36376768856571645,1.9054665995567794
Q99758,ABCA3,Phospholipid-transporting ATPase ABCA3,1,0.39087409795262723,1.7733259486637885,0.39087409795262723,1.7733259486637885,0.7001527214836765,0.9899942673808567
Q8WWZ7,ABCA5,Cholesterol transporter ABCA5,0,,,,,,
Q8N139,ABCA6,ATP-binding cassette sub-family A member 6,1,0.10041738307860609,6.902661265503743,0.10041738307860607,6.902661265503745,0.10382663163727679,6.676005660874057
Q8IZY2,ABCA7,Phospholipid-transporting ATPase ABCA7,0,,,,,,
P08183,ABCB1,ATP-dependent translocase ABCB1,0,,,,,,
Q9NRK6,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial",1,0.0747962120030719,9.267142840488734,0.0747962120030719,9.267142840488734,0.07632004841822129,9.082111383913345
Q9NP58,ABCB6,ATP-binding cassette sub-family B member 6,1,0.19211949244667348,3.607896167809947,0.19211949244667345,3.6078961678099475,0.1957099270246243,3.541706806077002
O75027,ABCB7,"Iron-sulfur clusters transporter ABCB7, mitochondrial",1,0.09146806840675088,7.578023594830684,0.09146806840675088,7.578023594830684,0.09441082168722946,7.341819170436309
Q9NUT2,ABCB8,Mitochondrial potassium channel ATP-binding subunit,1,0.1694429986391687,4.090739576888699,0.1694429986391687,4.090739576888699,0.15595919295952748,4.444413743150248
Q9NP78,ABCB9,ABC-type oligopeptide transporter ABCB9,1,0.16258431635982634,4.263309008391033,0.16258431635982634,4.263309008391033,0.15995040642171665,4.333513093629976
P33527,ABCC1,Multidrug resistance-associated protein 1,1,0.13014825912277492,5.3258275234098,0.13014825912277492,5.3258275234098,0.1332140995850832,5.203256882858976
Q5T3U5,ABCC10,ATP-binding cassette sub-family C member 10,1,0.11512061154907623,6.021051931820695,0.11512061154907621,6.021051931820696,0.10676071725400832,6.492530196390388
O15439,ABCC4,ATP-binding cassette sub-family C member 4,1,0.09357954351495382,7.407037419980381,0.09357954351495382,7.407037419980381,0.0985836778539383,7.031054183096242
O15440,ABCC5,ATP-binding cassette sub-family C member 5,1,0.25440279840701296,2.7246051729784657,0.25440279840701296,2.7246051729784657,0.3541960259565751,1.9569592252989478
P33897,ABCD1,ATP-binding cassette sub-family D member 1,1,0.22343136457072066,3.1022823581268058,0.22343136457072066,3.1022823581268058,0.22375019842811228,3.097861746847315
P28288,ABCD3,ATP-binding cassette sub-family D member 3,1,0.16623169507825497,4.169765460393341,0.166231695078255,4.16976546039334,0.1688785280548146,4.104412731113831
O14678,ABCD4,Lysosomal cobalamin transporter ABCD4,1,0.07367600091982009,9.408045658100818,0.0736760009198201,9.408045658100816,0.07518839209121606,9.21880573957536
P61221,ABCE1,ATP-binding cassette sub-family E member 1,1,0.13543975930361263,5.117752601775753,0.13543975930361263,5.117752601775753,0.14171712691103422,4.891061480487693
Q8NE71,ABCF1,ATP-binding cassette sub-family F member 1,1,0.17588494086160386,3.9409126055047112,0.17588494086160386,3.9409126055047112,0.18360042847598265,3.7753026303564323
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2,1,0.23201515969692668,2.9875081501802696,0.23201515969692668,2.9875081501802696,0.26942679336687575,2.5726735336826496
Q9NUQ8,ABCF3,ATP-binding cassette sub-family F member 3,1,0.26496379886408084,2.6160071056178915,0.26496379886408084,2.6160071056178915,0.32476138457877723,2.1343275816457448
P45844,ABCG1,ATP-binding cassette sub-family G member 1,1,0.3690397956750181,1.8782450800247597,0.3690397956750181,1.8782450800247597,0.6751019386189155,1.0267296550472742
Q9NUJ1,ABHD10,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",1,0.08213406972305937,8.439216306912677,0.08213406972305937,8.439216306912677,0.08317566115190382,8.333533764090552
Q8NFV4,ABHD11,Protein ABHD11,1,0.10985739372598109,6.309517794395091,0.10985739372598109,6.309517794395091,0.10088466206098146,6.870689422946777
Q8N2K0,ABHD12,Lysophosphatidylserine lipase ABHD12,1,0.1752668575138257,3.954810341169421,0.1752668575138257,3.954810341169421,0.1875992177586466,3.6948298017516525
Q7L211,ABHD13,Protein ABHD13,1,0.08959623449448453,7.736342765639496,0.08959623449448453,7.736342765639496,0.09037239737328291,7.669899224836351
Q9BUJ0,ABHD14A,Protein ABHD14A,1,0.13299033511403172,5.212011684650697,0.13299033511403172,5.212011684650697,0.17238530846994507,4.020917946617207
Q96IU4,ABHD14B,Putative protein-lysine deacylase ABHD14B,1,0.02812325028536326,24.64676641308041,0.02812325028536326,24.64676641308041,0.027744395920508494,24.983322129121397
Q6UXT9,ABHD15,Protein ABHD15,0,,,,,,
O95870,ABHD16A,Phosphatidylserine lipase ABHD16A,1,0.18435926369862685,3.759763228893325,0.18435926369862685,3.759763228893325,0.20053493128203878,3.456490977051179
Q96GS6,ABHD17A,Alpha/beta hydrolase domain-containing protein 17A,1,0.2913874377543644,2.378781960889676,0.2913874377543644,2.378781960889676,0.37188627525617757,1.863868678892395
Q5VST6,ABHD17B,Alpha/beta hydrolase domain-containing protein 17B,1,0.19928090676324836,3.478241803583445,0.19928090676324836,3.478241803583445,0.22807177282743893,3.039162505587162
Q6PCB6,ABHD17C,Alpha/beta hydrolase domain-containing protein 17C,1,0.21197704965218037,3.2699161616660217,0.2119770496521803,3.269916161666022,0.2495217217533595,2.7779031648598864
P08910,ABHD2,Monoacylglycerol lipase ABHD2,1,0.23034951606136506,3.009110643737107,0.23034951606136508,3.009110643737107,0.4154150045366827,1.6685655861973994
Q8WTS1,ABHD5,,1,0.20721430105282815,3.345074046714716,0.20721430105282818,3.3450740467147155,0.2599211559284167,2.666759379720675
Q9BV23,ABHD6,Monoacylglycerol lipase ABHD6,1,0.18595465122586638,3.727506550605324,0.18595465122586635,3.7275065506053244,0.1946721124210206,3.5605879647561665
Q8IZP0,ABI1,Abl interactor 1,1,0.15017568611252397,4.61557525391016,0.15017568611252397,4.61557525391016,0.15334508516846057,4.520178653254347
Q9NYB9,ABI2,Abl interactor 2,1,0.17651395703519446,3.9268689694704495,0.17651395703519446,3.9268689694704495,0.18255578569324363,3.796906123395456
P00519,ABL1,Tyrosine-protein kinase ABL1,1,0.20343049000388339,3.407292488686005,0.20343049000388339,3.407292488686005,0.21974650014140884,3.154303618550916
P42684,ABL2,Tyrosine-protein kinase ABL2,1,0.17374896420326166,3.989360073243725,0.17374896420326164,3.9893600732437258,0.18408387378216723,3.765387843696565
O14639,ABLIM1,Actin-binding LIM protein 1,1,0.3149146478114944,2.201063638598539,0.3149146478114944,2.201063638598539,0.3400685214268443,2.0382574007487353
Q6H8Q1,ABLIM2,Actin-binding LIM protein 2,1,0.2824892232417731,2.453711942018771,0.2824892232417731,2.453711942018771,0.2798599198435176,2.476764736256322
O94929,ABLIM3,Actin-binding LIM protein 3,0,,,,,,
Q12979,ABR,Active breakpoint cluster region-related protein,1,0.2654244854024229,2.611466607947007,0.26542448540242286,2.611466607947008,0.2885403271904329,2.4022540880480707
Q9P1F3,ABRACL,Costars family protein ABRACL,1,0.08506181858878685,8.148746312500288,0.08506181858878685,8.148746312500288,0.08476214424872808,8.177555991575172
Q6UWZ7,ABRAXAS1,BRCA1-A complex subunit Abraxas 1,0,,,,,,
Q15018,ABRAXAS2,BRISC complex subunit Abraxas 2,1,0.14105894547662493,4.91388318704543,0.14105894547662493,4.91388318704543,0.1537523869915005,4.508204354565648
Q9ULW3,ABT1,Activator of basal transcription 1,1,0.15587327942676232,4.4468633951184895,0.1558732794267623,4.44686339511849,0.19315748654315104,3.5885079732858163
Q8N961,ABTB2,Ankyrin repeat and BTB/POZ domain-containing protein 2,1,0.26065905312431636,2.6592100763496673,0.26065905312431636,2.6592100763496673,0.27271515625670506,2.5416525802016308
A6QL63,ABTB3,Ankyrin repeat and BTB/POZ domain-containing protein 3,1,0.22234480475200866,3.11744266448251,0.22234480475200866,3.11744266448251,0.2597909166920652,2.6680962882991976
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",1,0.16015736724689358,4.327913179862724,0.16015736724689358,4.327913179862724,0.16595144396845182,4.17680716711158
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",1,0.05957452378716858,11.634959652153164,0.05957452378716858,11.634959652153164,0.06153308466118442,11.264625922405418
Q13085,ACACA,Acetyl-CoA carboxylase 1,1,0.14658391846625823,4.728671383685919,0.14658391846625823,4.728671383685919,0.1824653544395827,3.7987878997021203
O00763,ACACB,Acetyl-CoA carboxylase 2,1,0.15504731026231305,4.470552758298489,0.15504731026231305,4.470552758298489,0.16553439540783169,4.187330245488977
Q6JQN1,ACAD10,Acyl-CoA dehydrogenase family member 10,1,0.1003985569308139,6.903955612007482,0.1003985569308139,6.903955612007482,0.10252547895201655,6.760730968000145
Q709F0,ACAD11,Acyl-CoA dehydrogenase family member 11,0,,,,,,
Q9UKU7,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial",1,0.0822147608691125,8.4309334872779,0.0822147608691125,8.4309334872779,0.08478974670236857,8.174893870045993
Q9H845,ACAD9,"Complex I assembly factor ACAD9, mitochondrial",1,0.0815484801942393,8.499817273221362,0.0815484801942393,8.499817273221362,0.08282680644525273,8.368633420849145
P11310,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",1,0.061813089490035215,11.213598709892771,0.061813089490035215,11.213598709892771,0.06242283328398267,11.104064716296733
P16219,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",1,0.06332508132742656,10.945855355099846,0.06332508132742656,10.945855355099846,0.0641201205684676,10.810135327487435
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",1,0.07995925799999624,8.668754536966537,0.07995925799999624,8.668754536966537,0.07927872084660431,8.743168067773313
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",1,0.09919871356715963,6.98746138568289,0.09919871356715963,6.98746138568289,0.09996238051249394,6.934080371098318
Q15057,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",1,0.18352841279779528,3.776784041191643,0.18352841279779528,3.776784041191643,0.1852998607906181,3.74067836641915
Q96P50,ACAP3,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3",1,0.3108059755686699,2.2301604056734115,0.3108059755686699,2.2301604056734115,0.3616933281748424,1.9163947094563996
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",1,0.11746730687048582,5.9007667667411345,0.11746730687048582,5.9007667667411345,0.11757612406802985,5.89530558227016
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic",1,0.1185230695670574,5.848204767999026,0.1185230695670574,5.848204767999026,0.12956828118500377,5.3496671733279895
Q9H3P7,ACBD3,Golgi resident protein GCP60,1,0.18821080244509777,3.682823576304237,0.18821080244509777,3.682823576304237,0.19138668153040467,3.621710638469001
Q5T8D3,ACBD5,Acyl-CoA-binding domain-containing protein 5,1,0.30272368816480455,2.2897024833504007,0.30272368816480455,2.2897024833504007,0.3357722024486147,2.0643375940747264
Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6,1,0.31480009339522513,2.201864596303385,0.31480009339522513,2.201864596303385,0.4026249931906446,1.7215701764240383
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,1,0.08001929549203589,8.662250477185623,0.08001929549203589,8.662250477185623,0.08004249712075184,8.659739582015611
Q96AP0,ACD,Adrenocortical dysplasia protein homolog,1,0.1896193452791775,3.6554665851177854,0.1896193452791775,3.6554665851177854,0.2511440393198737,2.759958717065576
P22303,ACHE,Acetylcholinesterase,1,0.2484075119214455,2.790363202780844,0.24840751192144545,2.7903632027808443,0.3022369284301349,2.2933901034537985
Q9UKV3,ACIN1,Apoptotic chromatin condensation inducer in the nucleus,1,0.11152324902951602,6.215270686531875,0.11152324902951602,6.215270686531875,0.11089230173947859,6.250633900524216
