,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
0,A2M,P01023,Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),1474,163291,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:6203908}.,Very low,
1,AAAS,Q9NRG9,Aladin,546,59574,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:19782045}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:26246606}. Nucleus envelope {ECO:0000269|PubMed:27754849}. Note=In metaphase cells localizes within the spindle with some accumulation around spindle poles, with the highest concentration between the centrosome and metaphase plate (PubMed:26246606). The localization to the spindle is microtubule-mediated (PubMed:26246606). {ECO:0000269|PubMed:26246606}.",Low,5467.715141528718
2,AACS,Q86V21,Acetoacetyl-CoA synthetase,672,75144,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JMI1}.",Low,2495.61180614218
3,AADAT,Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",425,47352,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.,Medium,
4,AAGAB,Q6PD74,Alpha- and gamma-adaptin-binding protein p34,315,34594,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:23000146, ECO:0000269|PubMed:23064416}.",Low,5089.991707614932
5,AAK1,Q2M2I8,AP2-associated protein kise 1,961,103885,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:F1MH24}; Peripheral membrane protein {ECO:0000250|UniProtKB:F1MH24}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:11877461}. Presynapse {ECO:0000250|UniProtKB:P0C1X8}. Note=Active when found in clathrin-coated pits at the plasma membrane. In neuronal cells, enriched at presynaptic terminals. In non-neuronal cells, enriched at leading edge of migrating cells. {ECO:0000250|UniProtKB:P0C1X8}.",High,51970.97203228105
6,AAMDC,Q9H7C9,Mth938 domain-containing protein,122,13332,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Diffuse distribution with some highly concentrated spots around the nucleus. {ECO:0000250}.,Very low,
7,AAMP,Q13685,Angio-associated migratory cell protein,434,46751,SUBCELLULAR LOCATION: Cell membrane. Cytoplasm.,Medium,19542.903116561414
8,AAR2,Q9Y312,Protein AAR2 homolog,384,43472,SUBCELLULAR LOCATION: Spliceosomal complex,Medium,9000.465712520025
9,AARS1,P49588,"Alanine--tR ligase, cytoplasmic",968,106810,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03133, ECO:0000269|PubMed:27911835}.",High,155999.48061185484
10,AARS2,Q5JTZ9,"Alanine--tR ligase, mitochondrial",985,107340,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03133, ECO:0000269|PubMed:21549344}.",Medium,13242.908649932438
11,AARSD1,Q9BTE6,Alanyl-tR editing protein Aarsd1,412,45480,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,High,64875.569957396496
12,AASDH,Q4L235,Beta-alanine-activating enzyme,1098,122597,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Very low,
13,AASDHPPT,Q9NRN7,L-aminoadipate-semialdehyde dehydrogese-phosphopantetheinyl transferase,309,35776,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12815048}.",High,106657.23689372838
14,AASS,Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",926,102132,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:463877}.,Medium,9385.310204572512
15,AATF,Q9NY61,Protein AATF,560,63133,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:34516797}.",Low,724.944458033787
16,ABAT,P80404,"4-aminobutyrate aminotransferase, mitochondrial",500,56439,SUBCELLULAR LOCATION: Mitochondrion matrix.,High,51652.28369740022
17,ABCA1,O95477,Phospholipid-transporting ATPase ABCA1,2261,254302,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19258317, ECO:0000269|PubMed:19556522, ECO:0000269|PubMed:24097981, ECO:0000269|PubMed:35974019}; Multi-pass membrane protein {ECO:0000255}. Endosome {ECO:0000269|PubMed:24097981}.",Low  ,
18,ABCA2,Q9BZC7,ATP-binding cassette sub-family A member 2,2435,269833,"SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:11309290, ECO:0000269|PubMed:15093135}; Multi-pass membrane protein {ECO:0000269|PubMed:11309290}. Lysosome membrane {ECO:0000269|PubMed:11309290, ECO:0000269|PubMed:15093135}; Multi-pass membrane protein {ECO:0000269|PubMed:11309290}. Note=Forms discrete, punctate intracellular vesicles. {ECO:0000269|PubMed:11309290}.",Medium,
19,ABCA3,Q99758,Phospholipid-transporting ATPase ABCA3,1704,191362,"SUBCELLULAR LOCATION: Endosome, multivesicular body membrane {ECO:0000269|PubMed:16959783, ECO:0000269|PubMed:20863830, ECO:0000269|PubMed:27177387}; Multi-pass membrane protein {ECO:0000305}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:16959783, ECO:0000269|PubMed:17574245, ECO:0000269|PubMed:20863830, ECO:0000269|PubMed:22673903, ECO:0000269|PubMed:27177387, ECO:0000269|PubMed:31473345}. Late endosome membrane {ECO:0000269|PubMed:27177387}. Lysosome membrane {ECO:0000269|PubMed:16959783, ECO:0000269|PubMed:17574245, ECO:0000269|PubMed:20863830, ECO:0000269|PubMed:24142515}. Note=Localized in the limiting membrane of lamellar bodies in lung alveolar type II cells (PubMed:22673903, PubMed:16959783, PubMed:24142515, PubMed:27177387, PubMed:11718719). Trafficks via the Golgi, sorting vesicles (SVs) and late endosome/multivesicular body network directly to the outer membrane of lamellar bodies in AT2 lung epithelial cells or to lysosomes and lysosomal-related organelles (LROs) in other cells where undergoes proteolytic cleveage and oligosaccharide processing from high mannose type to complex type (PubMed:24142515, PubMed:20863830, PubMed:16959783, PubMed:27177387). Oligomers formation takes place in a post-endoplasmic reticulum compartment (PubMed:27352740). {ECO:0000269|PubMed:11718719, ECO:0000269|PubMed:16959783, ECO:0000269|PubMed:20863830, ECO:0000269|PubMed:22673903, ECO:0000269|PubMed:24142515, ECO:0000269|PubMed:27177387, ECO:0000269|PubMed:27352740}.",Low,2193.7743500679485
20,ABCA5,Q8WWZ7,Cholesterol transporter ABCA5,1642,186508,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q8CF82}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8CF82}. Lysosome membrane {ECO:0000250|UniProtKB:Q8K448}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8K448}. Late endosome membrane {ECO:0000250|UniProtKB:Q8K448}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8K448}. Cell membrane {ECO:0000250|UniProtKB:Q8K448}. Note=Localized at cell membrane under high cholesterol levels. {ECO:0000250|UniProtKB:Q8K448}.,Very low,
21,ABCA6,Q8N139,ATP-binding cassette sub-family A member 6,1617,184286,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:24028821}; Multi-pass membrane protein {ECO:0000305}.,Low  ,
22,ABCB1,P08183,ATP-dependent translocase ABCB1,1280,141479,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:35970996}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Apical cell membrane {ECO:0000269|PubMed:28408210, ECO:0000269|PubMed:8898203}. Cytoplasm {ECO:0000269|PubMed:35970996}. Note=ABCB1 localization is influenced by C1orf115 expression levels (plasma membrane versus cytoplasm). Localized to the apical membrane of enterocytes (PubMed:28408210). {ECO:0000269|PubMed:28408210, ECO:0000269|PubMed:35970996}.",Low  ,
23,ABCB10,Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial",738,79148,SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9JI39}; Multi-pass membrane protein {ECO:0000255}.,Very low,641.6284711797864
24,ABCB6,Q9NP58,ATP-binding cassette sub-family B member 6,842,93886,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17661442, ECO:0000269|PubMed:22246506, ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:23180570, ECO:0000269|PubMed:27507172}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000269|PubMed:17006453, ECO:0000269|PubMed:17661442}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:25627919}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:25627919, ECO:0000269|PubMed:29940187, ECO:0000269|PubMed:31053883}. Late endosome membrane {ECO:0000250|UniProtKB:O70595}. Early endosome membrane {ECO:0000250|UniProtKB:O70595}. Secreted, extracellular exosome {ECO:0000269|PubMed:22655043}. Mitochondrion {ECO:0000269|PubMed:10837493, ECO:0000269|PubMed:23792964}. Endosome, multivesicular body membrane {ECO:0000269|PubMed:25627919}. Melanosome membrane {ECO:0000269|PubMed:29940187}. Note=Present in the membrane of mature erythrocytes and in exosomes released from reticulocytes during the final steps of erythroid maturation (PubMed:22655043). Traffics from endoplasmic reticulum to Golgi during its glycans's maturation, therefrom is first targeted to the plasma membrane, and is rapidly internalized through endocytosis to be distributed to the limiting membrane of multivesicular bodies and lysosomes (PubMed:25627919, PubMed:21199866, PubMed:18279659). Localized on the limiting membrane of early melanosomes of pigment cells (PubMed:29940187). Targeted to the endolysosomal compartment (By similarity). {ECO:0000250|UniProtKB:O70595, ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:25627919, ECO:0000269|PubMed:29940187}.",Very low,602.7719019186019
