,gene,UniProtID,pDesc,pLength,pMass,subLoc,abundanceLevel,avgCopyN
0,A2M,P01023,Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),1474,163291,Secreted,Very Low,
1,AAAS,Q9NRG9,Aladin,546,59574,"Nucleus, nuclear pore complex; Cytoplasm, cytoskeleton, spindle pole; Nucleus envelope",Low,5467.715141528718
2,AACS,Q86V21,Acetoacetyl-CoA synthetase,672,75144,"Cytoplasm, cytosol",Low,2495.61180614218
3,AADAT,Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",425,47352,Mitochondrion,Medium,
4,AAGAB,Q6PD74,Alpha- and gamma-adaptin-binding protein p34,315,34594,"Cytoplasm, cytosol",Low,5089.991707614932
5,AAK1,Q2M2I8,AP2-associated protein kise 1,961,103885,"Cell membrane; Membrane, clathrin-coated pit; Presynapse",High,51970.97203228105
6,AAMDC,Q9H7C9,Mth938 domain-containing protein,122,13332,Cytoplasm,Very Low,
7,AAMP,Q13685,Angio-associated migratory cell protein,434,46751,Cell membrane; Cytoplasm,Medium,19542.903116561414
8,AAR2,Q9Y312,Protein AAR2 homolog,384,43472,Spliceosomal complex,Medium,9000.465712520025
9,AARS1,P49588,"Alanine--tR ligase, cytoplasmic",968,106810,Cytoplasm,High,155999.48061185484
10,AARS2,Q5JTZ9,"Alanine--tR ligase, mitochondrial",985,107340,Mitochondrion,Medium,13242.908649932438
11,AARSD1,Q9BTE6,Alanyl-tR editing protein Aarsd1,412,45480,Cytoplasm,High,64875.569957396496
12,AASDH,Q4L235,Beta-alanine-activating enzyme,1098,122597,Cytoplasm,Very Low,
13,AASDHPPT,Q9NRN7,L-aminoadipate-semialdehyde dehydrogese-phosphopantetheinyl transferase,309,35776,"Cytoplasm, cytosol",High,106657.23689372838
14,AASS,Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",926,102132,Mitochondrion,Medium,9385.310204572512
15,AATF,Q9NY61,Protein AATF,560,63133,"Nucleus, nucleolus",Low,724.944458033787
16,ABAT,P80404,"4-aminobutyrate aminotransferase, mitochondrial",500,56439,Mitochondrion matrix,High,51652.28369740022
