rank,gene,UniProtID,pDesc,t12,mneuron,cneuron,subLoc
1,CSMD2,Q7Z408,CUB and sushi domain-containing protein 2,0.23655003535159702,0.23655003535159702,,Cell membrane
2,SERPINB3,P29508,Serpin B3,0.27108627100501,,0.27108627100501,Cytoplasm
3,FGF11,Q92914,Fibroblast growth factor 11 (FGF-11) (Fibroblast growth factor homologous factor 3) (FHF-3),0.2796616176260945,,0.2796616176260945,cytoplasm; nucleus
4,ZFAND3,Q9H8U3,AN1-type zinc finger protein 3,0.283458424,0.283458424,,Cytoplasm
5,CYP26B1,Q9NR63,Cytochrome P450 26B1,0.292434617,0.292434617,,Endoplasmic reticulum membrane; Microsome membrane
6,JAZF1,Q86VZ6,Juxtaposed with another zinc finger protein 1,0.294454221,0.294454221,,Nucleus
7,EVC2,Q86UK5,Limbin,0.306105311179932,,0.306105311179932,"Cell membrane; Cytoplasm, cytoskeleton, cilium basal body; Cell projection, cilium; Cell projection, cilium membrane; Nucleus"
8,METTL25,Q8N6Q8,Probable methyltransferase-like protein 25 (EC 2.1.1.-),0.3127277935824385,,0.3127277935824385,Cytosol;Mitochondria;Plasma membrane
9,PKN3,Q6P5Z2,Serine/threonine-protein kinase N3,0.317459682,0.317459682,,"Nucleus; Cytoplasm, perinuclear region"
10,SCRT2,Q9NQ03,Transcriptional repressor scratch 2,0.327520673,0.327520673,,Nucleus
11,GDPD3,Q7L5L3,Lysophospholipase D GDPD3,0.347039175,0.347039175,,"Membrane; Cytoplasm, perinuclear region; Endoplasmic reticulum"
12,CSRNP3,Q8WYN3,Cysteine/serine-rich nuclear protein 3 (CSRNP-3) (Protein FAM130A2) (TGF-beta-induced apoptosis protein 2) (TAIP-2),0.3548427073193145,,0.3548427073193145,Nucleus
13,SECISBP2L,Q93073,Selenocysteine insertion sequence-binding protein 2-like,0.355049873,0.355049873,,Cytoplasm
14,DLK1,P80370,Protein delta homolog 1 (DLK-1) (pG2) [Cleaved into: Fetal antigen 1 (FA1)],0.35582029399202325,,0.35582029399202325,Membrane; Single-pass type I membrane protein; Cytoplasm
15,INSIG1,O15503,Insulin-induced gene 1 protein,0.356481504475011,,0.356481504475011,Endoplasmic reticulum membrane
16,TMEM145,Q8NBT3,Transmembrane protein 145,0.356795367915409,,0.356795367915409,Membrane
17,FGF14,Q92915,Fibroblast growth factor 14,0.360110126407344,,0.360110126407344,Nucleus
18,CAMK2N1,Q7Z7J9,Calcium/calmodulin-dependent protein kinase II inhibitor 1,0.361026087167941,0.35624583,0.365806344335882,"Synapse; Cell projection, dendrite; Postsynaptic density"
19,TRAF5,O00463,TNF receptor-associated factor 5,0.362267997003614,,0.362267997003614,
20,PRDM8,Q9NQV8,PR domain zinc finger protein 8,0.362705545,0.362705545,,Nucleus
21,ARHGAP25,P42331,Rho GTPase-activating protein 25 (Rho-type GTPase-activating protein 25),0.374434711148772,,0.374434711148772,phagocytic cup
22,ZNF503,Q96F45,Zinc finger protein 503,0.37607171,0.37607171,,Nucleus
23,TLE2,Q04725,Transducin-like enhancer protein 2 (Enhancer of split groucho-like protein 2) (ESG2),0.376425554210944,,0.376425554210944,Nucleus
24,UPP,B2RBV5,Putative MORF4 family-associated protein 1-like protein UPP,0.37859249,0.37859249,,nucleus
25,PITX2,Q99697,Pituitary homeobox 2,0.380278363660276,,0.380278363660276,Nucleus
26,NEUROG2,Q9H2A3,Neurogenin-2 (NGN-2) (Class A basic helix-loop-helix protein 8) (bHLHa8) (Protein atonal homolog 4),0.3822939264562174,,0.3822939264562174,Nucleus
27,ISLR,O14498,Immunoglobulin superfamily containing leucine-rich repeat protein,0.384175531,0.384175531,,Secreted
28,PEG3,Q9GZU2,Paternally-expressed gene 3 protein (Zinc finger and SCAN domain-containing protein 24),0.3862277684873983,,0.3862277684873983,Nucleus; Cytoplasm
29,SNAPC2,Q13487,snRNA-activating protein complex subunit 2,0.394418795,0.394418795,,Nucleus
30,DYNLT2B,Q8WW35,Dynein light chain Tctex-type protein 2B,0.394711161,0.394711161,,Dynein axonemal particle
31,FNIP1,Q8TF40,Folliculin-interacting protein 1,0.39766398822216,,0.39766398822216,"Lysosome membrane; Cytoplasm, cytosol"
32,RBM18,Q96H35,Probable RNA-binding protein 18,0.397912065,0.397912065,,cytosol; intercellular bridge; nucleoplasm
33,AMD1,P17707,S-adenosylmethionine decarboxylase proenzyme,0.40604247,0.40604247,,cytosol
34,FGF12,P61328,Fibroblast growth factor 12,0.4145833086181866,0.376884822,0.45228179523637324,Nucleus
35,NMNAT2,Q9BZQ4,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2,0.42206958906180264,0.400956238,0.44318294012360526,"Golgi apparatus membrane; Cytoplasmic vesicle membrane; Cytoplasm; Cell projection, axon"
36,FAM222B,Q8WU58,Protein FAM222B,0.4236071035630375,0.350063401,0.497150806126075,Cytoplasm
37,ZXDC,Q2QGD7,Zinc finger protein ZXDC,0.427016799,0.427016799,,Nucleus
38,SLCO1B1,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,0.427593877698683,,0.427593877698683,Basolateral cell membrane; Basal cell membrane
39,HAPSTR1,Q14CZ0,HUWE1-associated protein modifying stress responses,0.42902046495214335,0.329454923,0.5285860069042867,Nucleus; Cytoplasm
40,NNAT,Q16517,Neuronatin,0.431880829839366,,0.431880829839366,cytoplasm
41,FLYWCH1,Q4VC44,FLYWCH-type zinc finger-containing protein 1,0.436512903,0.436512903,,"Nucleus; Chromosome, centromere"
42,NAT1,P18440,Arylamine N-acetyltransferase 1 (EC 2.3.1.5) (Arylamide acetylase 1) (Monomorphic arylamine N-acetyltransferase) (MNAT) (N-acetyltransferase type 1) (NAT-1),0.437452825461934,,0.437452825461934,Cytoplasm
43,HOXB8,P17481,Homeobox protein Hox-B8,0.440546362,0.440546362,,Nucleus
44,KIF1C,O43896,Kinesin-like protein KIF1C,0.4420031454255885,0.498251975,0.385754315851177,"Cytoplasm, cytoskeleton"
45,NR1H2,P55055,Oxysterols receptor LXR-beta,0.442635747962642,0.442635747962642,,Nucleus
46,ENPP1,P22413,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Membrane component chromosome 6 surface marker 1) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]",0.443624457266798,,0.443624457266798,"[Ectonucleotide pyrophosphatase/phosphodiesterase family member 1]: Cell membrane.;[Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form]: Secreted"
47,STK32A,Q8WU08,Serine/threonine-protein kinase 32A,0.444004738,0.444004738,,Cell membrane; Lipid-anchor
48,PJA1,Q8NG27,E3 ubiquitin-protein ligase Praja-1,0.4456362359865741,0.446107157,0.44516531497314826,cytoplasm
49,TH,P07101,Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH),0.45890727898550454,,0.45890727898550454,"Cytoplasm, perinuclear region; Nucleus; Cell projection, axon; Cytoplasm; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle"
50,TCEAL2,Q9H3H9,Transcription elongation factor A protein-like 2,0.4598277293874665,0.478194002,0.441461456774933,Nucleus
51,RNF152,Q8N8N0,E3 ubiquitin-protein ligase RNF152 (EC 2.3.2.27) (RING finger protein 152) (RING-type E3 ubiquitin transferase RNF152),0.46612767019355106,,0.46612767019355106,Lysosome membrane
52,RNF115,Q9Y4L5,E3 ubiquitin-protein ligase RNF115 (EC 2.3.2.27) (RING finger protein 115) (RING-type E3 ubiquitin transferase RNF115) (Rab7-interacting RING finger protein) (Rabring 7) (Zinc finger protein 364),0.469305626193067,,0.469305626193067,"Cytoplasm, cytosol"
53,BBLN,Q9BUW7,Bublin coiled-coil protein,0.46943726757263005,0.537651895778676,0.40122263936658403,"Cell junction; Cytoplasm, cytoskeleton"
54,ZNF791,Q3KP31,Zinc finger protein 791,0.4697834719610243,,0.4697834719610243,
